,id_comision,id_senador,fecha_reunion,citacion,falta_con_aviso,falta_sin_aviso,licencia,otras_comisiones
0,331,197,2015-04-07,1,0,0,0,0
1,331,197,2015-04-13,1,0,0,0,0
2,331,197,2015-04-15,1,1,0,0,0
3,331,197,2015-04-22,1,0,0,0,0
4,331,197,2015-05-13,1,0,0,0,0
5,331,197,2015-05-14,1,0,0,0,0
6,331,197,2015-05-19,1,1,0,0,0
7,331,197,2015-06-09,1,0,0,0,0
8,331,197,2015-07-22,1,0,0,0,0
9,331,197,2015-08-05,1,0,0,0,0
10,331,197,2015-08-11,1,0,0,0,0
11,331,197,2015-09-02,1,0,0,0,0
12,331,197,2015-09-16,1,0,0,0,0
13,331,197,2015-10-07,1,0,0,0,0
14,331,197,2015-12-09,1,0,0,0,0
15,331,197,2015-12-14,1,0,0,0,0
16,331,197,2016-03-02,1,0,0,0,0
17,331,197,2016-03-04,1,0,0,0,0
18,331,197,2016-03-15,1,0,0,0,0
19,331,197,2016-04-05,1,0,0,0,0
20,331,197,2016-04-19,1,0,0,0,0
21,331,197,2016-05-10,1,0,0,0,0
22,331,197,2016-05-17,1,0,0,0,0
23,331,197,2016-05-18,1,0,0,0,0
24,331,197,2016-06-01,1,0,0,0,0
25,331,197,2016-06-08,1,0,0,0,0
26,331,197,2016-06-20,1,0,0,0,0
27,331,197,2016-07-05,1,0,0,0,0
28,331,197,2016-07-12,1,0,0,0,0
29,331,197,2016-08-02,1,0,0,0,0
30,331,197,2016-08-16,1,0,0,0,0
31,331,197,2016-08-23,1,0,0,0,0
32,331,197,2016-08-26,1,0,0,0,0
33,331,197,2016-11-15,1,0,0,0,0
34,331,197,2016-11-22,1,0,0,0,0
35,331,197,2016-12-05,1,0,0,0,0
36,331,197,2017-03-14,1,0,0,0,0
37,331,197,2017-05-03,1,0,0,0,0
38,331,197,2017-05-10,1,0,0,0,0
39,331,197,2017-05-17,1,0,0,0,0
40,331,197,2017-06-14,1,0,0,0,0
41,331,197,2017-07-12,1,0,0,0,0
42,331,197,2017-08-02,1,1,0,0,0
43,331,197,2017-08-16,1,0,0,0,0
44,331,197,2017-08-23,1,0,0,0,0
45,331,197,2017-09-20,1,0,0,0,0
46,331,197,2017-10-04,1,0,0,0,0
47,331,197,2017-10-11,1,0,0,0,0
48,331,197,2017-11-08,1,0,0,0,0
49,331,197,2017-11-27,1,0,0,0,0
50,331,197,2017-12-13,1,0,0,0,0
51,331,197,2017-12-18,1,0,0,0,0
52,331,197,2018-02-21,1,1,0,0,0
53,331,197,2018-02-26,1,0,0,0,0
54,331,197,2018-03-07,1,0,0,0,0
55,331,197,2018-03-12,1,0,0,0,0
56,331,197,2018-03-21,1,0,0,0,0
57,331,197,2018-04-04,1,0,0,0,0
58,331,197,2018-04-11,1,0,0,0,0
59,331,197,2018-05-02,1,0,0,0,0
60,331,197,2018-05-09,1,0,0,0,0
61,331,197,2018-05-16,1,0,0,0,0
62,331,197,2018-06-06,1,0,0,0,0
63,331,197,2018-06-13,1,0,0,0,0
64,331,197,2018-08-01,1,0,0,0,0
65,331,197,2018-08-10,1,0,0,0,0
66,331,197,2018-08-15,1,0,0,0,0
67,331,197,2018-10-23,1,0,0,0,0
68,331,197,2018-11-07,1,0,0,0,0
69,331,197,2018-11-08,1,0,0,0,0
70,331,197,2018-11-21,1,0,0,0,0
71,331,197,2018-11-29,1,0,0,0,0
72,331,197,2018-12-05,1,0,0,0,0
73,331,197,2019-03-13,1,0,0,0,0
74,331,197,2019-03-19,1,0,0,0,0
