,id_senador,id_ficha,fecha_entrada
0,3238,143141,2019-04-08
1,3238,142063,2018-12-05
2,3238,141848,2018-11-14
3,3238,141494,2018-10-09
4,3238,140668,2018-08-01
5,3238,140424,2018-07-10
6,3238,139480,2018-05-02
7,3238,139089,2018-04-03
8,3238,138859,2018-03-13
9,3238,138863,2018-03-13
10,3238,138864,2018-03-13
11,3238,138643,2018-03-06
12,3238,137830,2017-12-06
13,3238,137658,2017-11-22
14,3238,137519,2017-11-14
15,3238,137375,2017-11-07
16,3238,137300,2017-11-01
17,3238,137127,2017-10-17
18,3238,137048,2017-10-11
19,3238,137051,2017-10-10
20,3238,135668,2017-07-12
21,3238,135482,2017-06-29
22,3238,135165,2017-06-07
23,3238,134850,2017-05-16
24,3238,134288,2017-04-04
25,3238,132939,2016-11-30
26,3238,132804,2016-11-22
27,3238,132114,2016-10-18
28,3238,132117,2016-10-18
29,3238,131029,2016-08-03
30,3238,130280,2016-06-15
31,3238,130145,2016-06-08
32,3238,127268,2015-11-10
33,3238,125838,2015-08-05
34,3238,125462,2015-07-14
35,3238,125290,2015-07-01
36,3238,125289,2015-07-01
37,3238,125291,2015-07-01
38,3238,125293,2015-07-01
39,3238,125292,2015-07-01
