camara,departamento,duracion_segundos,fecha_fin,fecha_ini,id_legislador,lema,sublema,titular
Cámara de Senadores,,0,2016-12-14 00:00:00,2015-02-15 00:00:00,5146,,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,
Cámara de Senadores,,86340,2015-03-18 23:59:00,2015-03-18 00:00:00,2743,,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,
Cámara de Senadores,,86340,2015-04-08 23:59:00,2015-04-07 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2015-04-09 23:59:00,2015-04-09 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2015-04-16 23:59:00,2015-04-14 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2015-05-13 23:59:00,2015-05-05 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2015-05-14 23:59:00,2015-05-14 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2015-05-20 23:59:00,2015-05-19 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2016-10-28 23:59:00,2016-10-25 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,32400,2017-02-19 09:00:00,2017-02-17 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,41400,2017-09-20 11:30:00,2017-09-16 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,0,2017-10-17 00:00:00,2017-10-17 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,42300,2017-11-17 11:45:00,2017-11-12 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-03-15 23:59:00,2018-03-13 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-04-10 23:59:00,2018-04-10 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-04-12 23:59:00,2018-04-11 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-04-24 23:59:00,2018-04-24 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-04-26 23:59:00,2018-04-25 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-05-29 23:59:00,2018-05-21 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-05-31 23:59:00,2018-05-30 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-06-06 23:59:00,2018-06-01 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-09-17 23:59:00,2018-09-06 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,39000,2018-09-30 10:50:00,2018-09-22 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-11-17 23:59:00,2018-11-15 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2018-12-02 23:59:00,2018-11-29 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,86340,2019-04-02 23:59:00,2019-04-02 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,46800,2019-04-03 13:00:00,2019-04-03 00:00:00,2743,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Ayala, Patricia"
Cámara de Senadores,,,,2015-02-15 00:00:00,9891,PARTIDO NACIONAL,,
Cámara de Representantes,MONTEVIDEO,60,2015-02-15 00:01:00,2015-02-15 00:00:00,9891,,2014,
Cámara de Representantes,PAYSANDU,86340,2015-11-18 23:59:00,2015-11-18 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,CERRO LARGO,86340,2016-08-02 23:59:00,2016-08-02 00:00:00,11535,,3,
Cámara de Representantes,PAYSANDU,86340,2016-10-17 23:59:00,2016-10-13 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2016-10-19 23:59:00,2016-10-19 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-05-16 23:59:00,2017-05-16 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-05-17 23:59:00,2017-05-17 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-08-16 23:59:00,2017-08-15 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-10-08 23:59:00,2017-10-04 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-10-18 23:59:00,2017-10-17 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-11-07 23:59:00,2017-11-07 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-11-11 23:59:00,2017-11-11 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-11-14 23:59:00,2017-11-14 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-11-26 23:59:00,2017-11-19 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2017-12-06 23:59:00,2017-12-05 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-02-08 23:59:00,2018-02-08 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-03-13 23:59:00,2018-03-13 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-03-14 23:59:00,2018-03-14 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-03-20 23:59:00,2018-03-15 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-04-11 23:59:00,2018-04-10 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-04-22 23:59:00,2018-04-16 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-05-02 23:59:00,2018-05-02 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-05-16 23:59:00,2018-05-15 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-06-07 23:59:00,2018-06-05 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-06-13 23:59:00,2018-06-12 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-06-23 23:59:00,2018-06-19 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-07-11 23:59:00,2018-07-11 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-08-01 23:59:00,2018-08-01 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-08-02 23:59:00,2018-08-02 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-08-18 23:59:00,2018-08-14 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-09-05 23:59:00,2018-09-04 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Senadores,,86340,2018-10-23 23:59:00,2018-10-23 00:00:00,11535,PARTIDO NACIONAL,ALIANZA NACIONAL,"Alonso, Verónica"
Cámara de Senadores,,86340,2018-10-24 23:59:00,2018-10-24 00:00:00,11535,PARTIDO NACIONAL,ALIANZA NACIONAL,"Alonso, Verónica"
Cámara de Senadores,,86340,2018-11-14 23:59:00,2018-11-13 00:00:00,11535,PARTIDO NACIONAL,ALIANZA NACIONAL,"Gandini, Jorge"
Cámara de Senadores,,86340,2018-11-15 23:59:00,2018-11-15 00:00:00,11535,PARTIDO NACIONAL,ALIANZA NACIONAL,"Alonso, Verónica"
Cámara de Representantes,PAYSANDU,86340,2018-11-22 23:59:00,2018-11-22 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-12-20 23:59:00,2018-12-19 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Representantes,PAYSANDU,86340,2018-12-27 23:59:00,2018-12-27 00:00:00,11535,PARTIDO NACIONAL,2004,"Olivera, Nicolás"
Cámara de Senadores,,86340,2019-02-26 23:59:00,2019-02-26 00:00:00,11535,PARTIDO NACIONAL,ALIANZA NACIONAL,"Alonso, Verónica"
Cámara de Senadores,,300,2015-06-02 00:05:00,2015-02-15 00:00:00,8883,,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,
Cámara de Senadores,,36000,2015-06-02 10:00:00,2015-03-03 00:00:00,8883,,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,
Cámara de Senadores,,,,2015-02-15 00:00:00,1044,PARTIDO COLORADO,,
Cámara de Representantes,MONTEVIDEO,60,2015-02-15 00:01:00,2015-02-15 00:00:00,1044,,15,
Cámara de Senadores,,86340,2015-03-18 23:59:00,2015-03-18 00:00:00,3237,,"TODOS, HACIA ADELANTE",
Cámara de Senadores,,86340,2015-09-03 23:59:00,2015-09-01 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2015-09-09 23:59:00,2015-09-09 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-03-17 23:59:00,2016-03-16 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-05-05 23:59:00,2016-05-05 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-05-18 23:59:00,2016-05-18 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-05-24 23:59:00,2016-05-24 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-06-08 23:59:00,2016-06-08 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-06-09 23:59:00,2016-06-09 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-06-16 23:59:00,2016-06-16 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-06-22 23:59:00,2016-06-22 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-07-06 23:59:00,2016-07-06 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-07-13 23:59:00,2016-07-08 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-08-04 23:59:00,2016-08-04 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-10-28 23:59:00,2016-10-28 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-11-08 23:59:00,2016-11-08 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-11-22 23:59:00,2016-11-22 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2016-12-13 23:59:00,2016-12-13 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2016-12-28 23:59:00,2016-12-28 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Saravia, Jorge"
Cámara de Senadores,,86340,2017-03-08 23:59:00,2017-03-08 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2017-03-15 23:59:00,2017-03-15 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2017-04-05 23:59:00,2017-04-04 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2017-04-18 23:59:00,2017-04-18 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2017-07-05 23:59:00,2017-07-04 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,57600,2017-07-12 16:00:00,2017-07-11 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2017-08-18 23:59:00,2017-08-16 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2017-11-01 23:59:00,2017-11-01 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Lacalle Pou, Luis Alberto"
Cámara de Senadores,,86340,2017-11-14 23:59:00,2017-11-14 00:00:00,3237,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2015-03-18 23:59:00,2015-03-18 00:00:00,11533,,"TODOS, HACIA ADELANTE",
Cámara de Senadores,,86340,2015-06-18 23:59:00,2015-06-16 00:00:00,11533,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2015-07-02 23:59:00,2015-07-01 00:00:00,11533,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Delgado, Alvaro"
Cámara de Senadores,,86340,2015-04-16 23:59:00,2015-04-15 00:00:00,9899,,VAMOS URUGUAY,
Cámara de Senadores,,86340,2015-05-13 23:59:00,2015-05-12 00:00:00,9899,PARTIDO COLORADO,VAMOS URUGUAY,"Coutinho Rodríguez, Germán"
Cámara de Senadores,,86340,2015-06-10 23:59:00,2015-06-09 00:00:00,9899,PARTIDO COLORADO,VAMOS URUGUAY,"Coutinho Rodríguez, Germán"
Cámara de Senadores,,86340,2015-06-17 23:59:00,2015-06-16 00:00:00,9899,PARTIDO COLORADO,VAMOS URUGUAY,"Coutinho Rodríguez, Germán"
Cámara de Senadores,,86340,2016-09-14 23:59:00,2016-09-13 00:00:00,2936,,UNIDAD Y PLURALISMO FRENTEAMPLISTA,
Cámara de Senadores,,,,2015-02-15 00:00:00,479,PARTIDO FRENTE AMPLIO,,
Cámara de Senadores,,,,2015-03-03 00:00:00,479,PARTIDO FRENTE AMPLIO,,
Cámara de Senadores,,86340,2015-09-15 23:59:00,2015-09-15 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2015-09-30 23:59:00,2015-09-29 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2015-12-02 23:59:00,2015-12-02 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2015-12-03 23:59:00,2015-12-03 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2015-12-08 23:59:00,2015-12-08 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2015-12-15 23:59:00,2015-12-15 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2015-12-22 23:59:00,2015-12-22 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-04-29 23:59:00,2016-04-18 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-05-18 23:59:00,2016-05-18 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-05-24 23:59:00,2016-05-24 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-07-15 23:59:00,2016-07-08 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-08-10 23:59:00,2016-08-10 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-09-14 23:59:00,2016-09-14 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-09-21 23:59:00,2016-09-20 00:00:00,10282,,"TODOS, HACIA ADELANTE",
Cámara de Senadores,,86340,2016-10-12 23:59:00,2016-10-12 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-10-27 23:59:00,2016-10-27 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-10-28 23:59:00,2016-10-28 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-11-16 23:59:00,2016-11-16 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-12-15 23:59:00,2016-12-15 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2016-12-29 23:59:00,2016-12-28 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2017-02-08 23:59:00,2017-02-08 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2017-03-14 23:59:00,2017-03-14 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2017-05-17 23:59:00,2017-05-17 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2017-06-29 23:59:00,2017-06-29 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2017-07-10 23:59:00,2017-07-03 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Senadores,,86340,2017-09-19 23:59:00,2017-09-18 00:00:00,10282,PARTIDO NACIONAL,"TODOS, HACIA ADELANTE","Aviaga Martínez, María Carol"
Cámara de Representantes,RIVERA,,,2015-02-15 00:00:00,9913,PARTIDO FRENTE AMPLIO,,
Cámara de Senadores,,86340,2015-05-05 23:59:00,2015-05-05 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2015-06-07 23:59:00,2015-06-03 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2015-06-10 23:59:00,2015-06-10 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2015-07-22 23:59:00,2015-07-22 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,55740,2015-09-01 15:29:00,2015-09-01 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2015-09-08 23:59:00,2015-09-08 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,52200,2015-12-01 14:30:00,2015-12-01 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2016-03-09 23:59:00,2016-03-09 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2016-07-14 23:59:00,2016-07-11 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2016-08-04 23:59:00,2016-08-03 00:00:00,9913,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Otheguy Vega, Marcos Javier"
Cámara de Senadores,,86340,2015-03-02 23:59:00,2015-02-15 00:00:00,759,,FRENTE LIBER SEREGNI,
Cámara de Senadores,,86340,2015-04-08 23:59:00,2015-04-07 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Astori, Danilo"
Cámara de Senadores,,86340,2015-04-09 23:59:00,2015-04-09 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2015-09-05 23:59:00,2015-09-01 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2015-10-27 23:59:00,2015-10-27 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2015-12-03 23:59:00,2015-12-02 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2015-12-23 23:59:00,2015-12-22 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2016-02-19 23:59:00,2016-02-15 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2016-02-26 23:59:00,2016-02-22 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2016-05-06 23:59:00,2016-05-03 00:00:00,759,PARTIDO FRENTE AMPLIO,FRENTE LIBER SEREGNI,"Pintado, Enrique"
Cámara de Senadores,,86340,2015-03-02 23:59:00,2015-02-15 00:00:00,8267,,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,
Cámara de Senadores,,86340,2015-03-18 23:59:00,2015-03-18 00:00:00,8267,PARTIDO FRENTE AMPLIO,MAS FRENTE AMPLIO PARA MAS DESARROLLO CON IGUALDAD,"Mujica, José"
